"gene_ensembl","gene_symbol"
"ENSG00000088053","GP6"
"ENSG00000005961","ITGA2B"
"ENSG00000259207","ITGB3"
"ENSG00000107890","ANKRD26"
"ENSG00000159216","RUNX1"
